year	co2ppm
2018	408.52
2017	406.55
2016	404.24
2015	400.83
2014	398.65
2013	396.52
2012	393.85
2011	391.65
2010	389.9
2009	387.43
2008	385.6
2007	383.79
2006	381.9
2005	379.8
2004	377.52
2003	375.8
2002	373.28
2001	371.14
2000	369.55
1999	368.38
1998	366.7
1997	363.73
1996	362.61
1995	360.82
1994	358.83
1993	357.1
1992	356.45
1991	355.61
1990	354.39
1989	353.12
1988	351.57
1987	349.19
1986	347.42
1985	346.12
1984	344.65
1983	343.05
1982	341.45
1981	340.11
1980	338.75
1979	336.84
1978	335.4
1977	333.83
1976	332.04
1975	331.11
1974	330.18
1973	329.68
1972	327.45
1971	326.32
1970	325.68
1969	324.62
1968	323.04
1967	322.16
1966	321.38
1965	320.04
1964	319.62
1963	318.99
1962	318.45
1961	317.64
1960	316.91
1959	315.97
1958	315.34
1957	314.8
1956	314.3
1955	313.7
1954	313.2
1953	312.6
1952	312.2
1951	311.8
1950	311.3
1949	310.9
1948	310.5
1947	310.4
1946	310.3
1945	310.3
1944	310.2
1943	310.5
1942	310.7
1941	311
1940	311.3
1939	311.2
1938	311
1937	310.6
1936	310.1
1935	309.7
1934	309.3
1933	308.9
1932	308.3
1931	308
1930	307.5
1929	307.2
1928	306.6
1927	306.2
1926	305.8
1925	305.3
1924	304.9
1923	304.5
1922	304.1
1921	303.7
1920	303.4
1919	303
1918	302.8
1917	302.4
1916	302
1915	301.6
1914	301.4
1913	301.3
1912	301
1911	300.6
1910	300.1
1909	299.7
1908	299.3
1907	298.8
1906	298.4
1905	298
1904	297.5
1903	297
1902	296.6
1901	296.2
1900	295.7
1899	295.3
1898	294.9
1897	294.9
1896	294.9
1895	294.8
1894	294.8
1893	294.7
1892	294.8
1891	294.6
1890	294.4
1889	294.2
1888	294.1
1887	294
1886	293.8
1885	293.3
1884	292.9
1883	292.5
1882	292
1881	291.4
1880	290.8
1879	290.1
1878	289.5
1877	288.9
1876	288.7
1875	288.6
1874	288.4
1873	288.2
1872	288
1871	287.9
1870	287.7
1869	287.5
1868	287.4
1867	287.3
1866	287.2
1865	287.1
1864	286.9
1863	286.8
1862	286.7
1861	286.6
1860	286.4
1859	286.1
1858	285.9
1857	285.6
1856	285.4
1855	285.1
1854	284.9
1853	285
1852	285
1851	285.1
1850	285.2
1845	284.8
1840	284.6
1835	284.5
1830	284.4
1825	284.3
1820	284.2
1815	284
1810	283.8
1805	283.4
1800	282.9
1740	274.9
1729	277.9
1613	279.1
1604	281.9
1523	277.7
1449	281.1
1336	282.2
1254	280.1
1131	278.4
1058	276.6
948	279.1
855	277.7
775	278.7
658	277.4
555	279.2
456	280
370	278.9
275	278.7
196	278
77	276.9
-49	276.7
-120	276.7
-204	277.6
-326	277.9
-425	273.9
-528	278.9
-596	275.3
-720	274.7
-798	276.3
-894	274.6
-1045	276.3
-1108	273.1
-1207	274
-1328	275
-1445	273.4
-1515	273
-1614	271.5
-1713	275.4
-1782	274.9
-1902	271.7
-1996	271.6
-2088	272.8
-2153	271.5
-2316	271.1
-2366	269.1
-2472	269.8
-2565	271.5
-2695	270.7
-2758	269.3
-2866	268.6
-2996	269.8
-3086	267.6
-3152	265.3
-3266	265.2
-3362	267.6
-3468	265.9
-3554	265.5
-3649	260.7
-3708	266.7
-3847	265.5
-3990	263.2
-4031	262.7
-4123	261.2
-4255	261.1
-4346	259.4
-4426	262.1
-4537	262.9
-4609	258.1
-4705	257.6
-4830	262.3
-4933	263
-5020	260.7
-5104	258.4
-5226	260.1
-5312	260.4
-5405	259.7
-5499	259.2
-5582	260.8
-5683	259.6
-5773	259.3
-5868	258.3
-5982	261.3
-6042	260.7
-6173	261.8
-6273	259
-6379	260.9
-6469	260.4
-6571	259.3
-6645	262
-6776	263.7
-6861	263.8
-6965	265.2
-7084	260.6
-7132	260.9
-7224	263
-7309	263.8
-7528	264.4
-7589	264.2
-7713	264
-7799	263.4
-7901	265.7
-7975	264.9
-8080	267.5
-8201	266.9
-8286	266
-8409	265.1
-8519	267.6
-8613	264.8
-8736	264.8
-8797	265
-8819	265.3
-8887	264.4
-8925	264.1
-9006	264.2
-9079	264.5
-9128	264
-9193	263
-9228	265.2
-9270	258.8
-9330	260.8
-9384	255.4
-9428	253.9
-9461	253.8
-9572	250.7
-9627	249.7
-9668	251.1
-9719	250.7
-9811	245.3
-9888	245.3
-9950	246.6
-10042	243.2
-10114	240.3
-10363	237.5
-10488	237.6
-10634	234.2
-10752	238.3
-10934	237.3
-11082	237.9
-11233	237.6
-11432	236.4
-11534	239.2
-11645	238.6
-11796	238.6
-11940	239.1
-12295	228.5
-12542	228.4
-12717	226.1
-12882	225.2
-13004	224.5
-13225	222
-13430	221
-13562	220.9
-13734	219.4
-13878	214
-14065	207.5
-14252	207.7
-14444	202.9
-14651	200.8
-14862	195.2
-15103	193.9
-15367	191
-15557	188.5
-15801	188.5
-15935	189.2
-16277	187
-16533	188.6
-16820	189.4
-16860	192.3
-16913	188.3
-17339	188.7
-17501	188.8
-17740	190
-17980	188
-18160	188.2
-18189	195
-18494	187.8
-18740	186.9
-19003	186.5
-19249	184.7
-19499	186.1
-19846	185.7
-20007	184.4
-20819	189.2
-23986	191.6
-27055	188.5
-28012	191.7
-33001	205.3
-35463	209.1
-41492	209.1
-45328	189.3
-46846	188.4
-47682	210.1
-48655	215.7
-50374	190.4
-55080	221.7
-55649	210.4
-60851	195.3
-62931	191.4
-63931	194.9
-69041	227.3
-71219	229.1
-75142	217.1
-76175	221.7
-78606	230.9
-80409	241.1
-81325	236.4
-82008	228
-83012	214.2
-84173	217
-85909	208
-88349	224.2
-89241	228.3
-92345	232
-97841	225.8
-98829	230.8
-99741	236.9
-101457	228.1
-102696	236.9
-103628	230.6
-105571	238.2
-106145	245.6
-107796	251.2
-109854	256.7
-111254	266.3
-112088	261.4
-112593	274.5
-113110	273.2
-114493	262.5
-115742	267.6
-116641	273.7
-117664	271.9
-118374	265.2
-119009	277.6
